,Unnamed: 0.1,Unnamed: 0,STI_Price,SPY_Price,SHG_Price,US Interest Rates,China Interest Rates ,Production Index United States,Production Index China,Date,CNY,USD,STI_Price_returns,SPY_Price_returns,SHG_Price_returns,US Interest Rates_returns,China Interest Rates _returns,Production Index United States_returns,Production Index China_returns,CNY_returns,USD_returns
49,49,49,2734.86,1252.62,2333.693333,0.75,3.25,3.125019028,3.133333333,2011-12-31,1.2776666666666667,1.4760333333333333,-0.06229942123597654,0.03164506545297563,-0.08222157260437413,0.0,0.0,0.2541021282351934,-0.558685446056338,0.032040926225094246,-0.033081491833347854
50,50,50,2970.403333,1362.186667,2327.963333,0.75,3.25,3.604353224,0.133333333,2012-03-31,1.2552333333333332,1.4059333333333337,0.0861262854405711,0.08746999648736264,-0.002455335462879349,0.0,0.0,0.153386008758728,-0.9574468086124943,-0.01755804852595888,-0.04749215239041549
51,51,51,2876.52,1356.8,2331.326667,0.75,3.25,3.836630193,-1.4,2012-06-30,1.2634999999999998,1.3595333333333333,-0.03160625762737124,-0.003954426460408111,0.0014447538551500827,0.0,0.0,0.064443453392236,-11.50000002625,0.006585760947499741,-0.03300298733937157
52,52,52,3040.733333,1408.856667,2079.106667,0.75,3.25,2.678160226,-3.333333333,2012-09-30,1.2394,1.3962666666666668,0.05708749913089428,0.03836723688089627,-0.10818732679987819,0.0,0.0,-0.3019498645226868,1.380952380714286,-0.01907400079145216,0.027019075172853624
53,53,53,3091.8,1418.176667,2106.043333,0.75,3.25,2.120327569,-2.3,2012-12-31,1.2203,1.4459,0.016794194494397674,0.0066152932504097706,0.012955884576556054,0.0,0.0,-0.20828950097327004,-0.309999999931,-0.015410682588349323,0.03554717341482028
54,54,54,3286.903333,1527.326667,2329.21,0.75,3.25,1.890172066,-1.7,2013-03-31,1.2383666666666666,1.5091333333333334,0.06310347790930848,0.0769650231454555,0.10596489801665432,0.0,0.0,-0.10854714449076708,-0.26086956521739124,0.014805102570406126,0.04373285381653891
55,55,55,3276.663333,1611.53,2152.57,0.75,3.25,1.707126915,-2.733333333,2013-06-30,1.2542,1.5269666666666666,-0.0031153943279049745,0.05513118759681812,-0.07583687172904108,0.0,0.0,-0.0968404698665144,0.6078431370588235,0.012785658528707167,0.011816936873260575
56,56,56,3139.58,1666.75,2088.946667,0.75,3.25,2.134596368,-1.733333333,2013-09-30,1.2666000000000002,1.5275999999999998,-0.041836258128628456,0.034265573709456154,-0.029556917080513112,0.0,0.0,0.2504028547871615,-0.36585365858120167,0.009886780417796448,0.00041476565740361515
57,57,57,3184.816667,1803.57,2159.363333,0.75,3.25,2.312059087,-1.433333333,2013-12-31,1.2529666666666666,1.5438,0.01440850909994329,0.08208789560521979,0.03370917367705095,0.0,0.0,0.08313642881641048,-0.17307692311020717,-0.010763724406547936,0.010604870384917753
58,58,58,3108.873333,1838.126667,2040.896667,0.75,3.25,2.221662046,-1.966666667,2014-03-31,1.2669333333333337,1.5801666666666667,-0.02384543348661139,0.019160147374374104,-0.054861849411610764,0.0,0.0,-0.0390980669604315,0.37209302380746356,0.011146878076033317,0.023556591959234874
