,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,STI_Price,SPY_Price,SHG_Price,US Interest Rates,China Interest Rates ,Production Index United States,Production Index China,Date,CNY,USD,STI_Price_returns,SPY_Price_returns,SHG_Price_returns,US Interest Rates_returns,China Interest Rates _returns,Production Index United States_returns,Production Index China_returns,CNY_returns,USD_returns,Crisis_Bool,Crisis
14,14,14,14,1241.863333,848.3433333,1507.443333,2.25,2.7,2.758989918,3.666666667,2003-03-31,1.7454999999999998,1.3557666666666666,-0.0916252583053447,-0.058055657373172,0.0518685467270481,1.3851590106007068,0.0,-0.040009454358256,-12.000000012,-0.0059983675328868,0.0047181463366434,False,0
15,15,15,15,1333.8,951.67,1527.906667,2.166666666666667,2.7,0.444063045,2.3,2003-06-30,1.7553999999999998,1.3852,0.0740312275569858,0.1217981713819402,0.0135748611918136,-0.0370370370370368,0.0,-0.8390486887600146,-0.3727272727842975,0.0056717272987683,0.0217097337299929,False,0
16,16,16,16,1574.263333,999.1,1421.96,2.0,2.7,0.48817232,1.4,2003-09-30,1.7472,1.4031,0.1802844002099266,0.0498387045929786,-0.0693410594300391,-0.0769230769230771,0.0,0.0993311096175544,-0.3913043478260869,-0.0046712999886064,0.0129223216863991,False,0
17,17,17,17,1706.433333,1073.61,1414.186667,2.0,2.7,1.512180222,2.033333333,2003-12-31,1.7203333333333333,1.4238333333333333,0.0839567289851881,0.0745771194074667,-0.0054666326760247,0.0,0.0,2.097636142090154,0.4523809521428572,-0.0153769841269841,0.0147768037440905,False,0
18,18,18,18,1823.286667,1134.093333,1669.14,2.0,2.7,1.592981951,3.633333333,2004-03-31,1.6885666666666663,1.3546000000000002,0.068478112645963,0.0563364098695058,0.1802826592481232,0.0,0.0,0.0534339279303177,0.786885246030637,-0.0184654136795195,-0.0486246049397165,False,0
19,19,19,19,1773.613333,1122.94,1516.886667,2.083333333333333,2.7,2.947685638,5.7,2004-06-30,1.7061,1.3558666666666666,-0.0272438420677597,-0.0098345812248946,-0.091216634314677,0.0416666666666665,0.0,0.8504199850786631,0.5688073395934687,0.01038356002132,0.00093508538806,False,0
20,20,20,20,1863.543333,1106.846667,1374.986667,2.5,2.7,2.844148737,7.033333333,2004-09-30,1.7043666666666668,1.3927666666666667,0.0507044000666632,-0.0143314273247012,-0.0935468701037769,0.2000000000000001,0.0,-0.0351248110264056,0.233918128596491,-0.0010159623312426,0.0272150653948275,False,0
21,21,21,21,1949.066667,1171.98,1309.27,3.0,3.33,3.303359706,7.866666667,2004-12-31,1.6444666666666663,1.4094,0.0458928603835153,0.0588458500548567,-0.0477944030856554,0.1999999999999999,0.2333333333333331,0.1614581414206821,0.118483412422677,-0.0351450196553952,0.0119426561041571,False,0
22,22,22,22,2036.173333,1188.486667,1226.353333,3.5,3.33,4.008998803,5.6,2005-03-31,1.6371666666666669,1.4015333333333333,0.0446914759124552,0.0140844272086553,-0.0633304566666921,0.1666666666666667,0.0,0.2136125520082854,-0.2881355932505027,-0.0044391292009563,-0.0055815713542406,False,0
23,23,23,23,2095.673333,1179.893333,1100.276667,4.0,3.33,3.993639121,5.633333333,2005-06-30,1.6630666666666667,1.3392,0.029221480821741,-0.0072304841430752,-0.1028061510556517,0.1428571428571428,0.0,-0.0038313012187746,0.0059523808928572,0.0158200142522648,-0.0444750987014223,False,0
24,24,24,24,2245.15,1227.773333,1133.813333,4.5,3.33,2.971498044,5.0,2005-09-30,1.6788,1.3624333333333334,0.0713263201121239,0.0405799394410173,0.030480211937458,0.125,0.0,-0.2559422737085112,-0.1124260354504395,0.0094604345386033,0.0173486658701713,False,0
25,25,25,25,2216.243333,1234.926667,1117.713333,5.0,3.33,2.457163556,3.466666667,2005-12-31,1.6827,1.3052666666666666,-0.0128751606796874,0.0058262659790151,-0.0141998682952515,0.1111111111111111,0.0,-0.1730892904467953,-0.3066666665999999,0.0023230879199427,-0.0419592395958212,False,0
26,26,26,26,2410.546667,1285.19,1285.126667,5.583333333333333,3.33,2.014197591,2.866666667,2006-03-31,1.6199666666666666,1.2572,0.0876723828592336,0.0407014718712848,0.1497819960245567,0.1166666666666667,0.0,-0.1802753275899554,-0.1730769230602811,-0.0372813533804798,-0.0368251698248122,False,0
27,27,27,27,2428.256667,1283.633333,1584.576667,6.0,3.33,2.037074373,2.6,2006-06-30,1.5812333333333333,1.2510333333333332,0.0073468812043537,-0.0012112349146818,0.23301205063236,0.0746268656716417,0.0,0.0113577645521074,-0.0930232559194158,-0.0239099569949998,-0.004905080072118,False,0
28,28,28,28,2459.11,1305.443333,1674.596667,6.25,3.33,2.890594374,3.5,2006-09-30,1.5801666666666667,1.2669333333333337,0.012705960378611,0.0169908333161055,0.0568101259312561,0.0416666666666667,0.0,0.4189930482228889,0.346153846153846,-0.0006745789151927,0.0127094934853857,False,0
29,29,29,29,2778.123333,1398.956667,2204.25,6.25,3.33,2.20220053,2.933333333,2006-12-31,1.5438,1.2529666666666666,0.1297271504731385,0.0716333919949629,0.3162871056878795,0.0,0.0,-0.2381495827266148,-0.1619047619999999,-0.0230144499525366,-0.0110239949484323,False,0
30,30,30,30,3079.856667,1421.973333,2950.463333,6.25,3.33,2.269375144,2.866666667,2007-03-31,1.5275999999999998,1.2666000000000002,0.1086104891081882,0.0164527369166895,0.3385338927072701,0.0,0.0,0.0305034047012968,-0.0227272725025826,-0.0104935872522349,0.0108808427997555,False,0
31,31,31,31,3400.976667,1505.446667,3923.873333,6.25,3.33,2.847758159,2.733333333,2007-06-30,1.5269666666666666,1.2542,0.1042645923885781,0.0587024609131681,0.3299176739845286,0.0,0.0,0.2548644354941431,-0.0465116281341265,-0.0004145936981757,-0.0097899889467868,False,0
